k  	 x_k^T  	           f(x_k) 	  ||Vf(x_k)|| 
----------------------------------------------------------------
0 	 [1.2 1.2 ] 	          5.80000E+00 	  1.25169E+02 
100 	 [1.1001 1.21 ] 	  1.00321E-02 	  3.28011E-01 
200 	 [1.0877 1.1834 ] 	  7.69792E-03 	  7.85196E-02 
300 	 [1.0761 1.1582 ] 	  5.79476E-03 	  6.78796E-02 
400 	 [1.0632 1.1301 ] 	  4.00870E-03 	  2.72154E-01 
500 	 [1.0505 1.1037 ] 	  2.55013E-03 	  4.47203E-02 
600 	 [1.0373 1.0758 ] 	  1.39780E-03 	  1.69731E-01 
700 	 [1.0214 1.0431 ] 	  4.61302E-04 	  1.19821E-01 
800 	 [1.0139 1.0274 ] 	  2.21430E-04 	  2.70462E-01 
900 	 [1.0128 1.0253 ] 	  1.80945E-04 	  2.10139E-01 
1000 	 [1.0118 1.0235 ] 	  1.43806E-04 	  1.20339E-01 
1100 	 [1.0109 1.0218 ] 	  1.18624E-04 	  5.23938E-02 
1200 	 [1.01 1.0202 ] 	  1.00770E-04 	  1.91681E-02 
1300 	 [1.0093 1.0187 ] 	  8.62459E-05 	  1.55383E-02 
1400 	 [1.0086 1.0173 ] 	  7.37923E-05 	  1.11389E-02 
1500 	 [1.0079 1.016 ] 	  6.31095E-05 	  1.40845E-02 
1600 	 [1.0073 1.0147 ] 	  5.39747E-05 	  1.63754E-02 
1700 	 [1.0068 1.0136 ] 	  4.61357E-05 	  1.65364E-02 
1800 	 [1.0063 1.0126 ] 	  3.93986E-05 	  1.44273E-02 
1900 	 [1.0058 1.0116 ] 	  3.36247E-05 	  1.10865E-02 
2000 	 [1.0054 1.0107 ] 	  2.86955E-05 	  7.86093E-03 
2100 	 [1.005 1.0099 ] 	  2.45050E-05 	  1.14102E-02 
2200 	 [1.0046 1.0092 ] 	  2.08903E-05 	  6.57162E-03 
2300 	 [1.0042 1.0085 ] 	  1.78200E-05 	  7.78981E-03 
2400 	 [1.0039 1.0078 ] 	  1.52025E-05 	  8.81525E-03 
2500 	 [1.0036 1.0072 ] 	  1.29674E-05 	  9.28324E-03 
2600 	 [1.0033 1.0067 ] 	  1.10557E-05 	  9.04168E-03 
2700 	 [1.0031 1.0061 ] 	  9.42022E-06 	  8.16451E-03 
2800 	 [1.0028 1.0057 ] 	  8.02276E-06 	  6.88253E-03 
2900 	 [1.0026 1.0052 ] 	  6.83104E-06 	  5.47524E-03 
3000 	 [1.0024 1.0048 ] 	  5.81641E-06 	  4.18016E-03 
3100 	 [1.0022 1.0045 ] 	  4.95316E-06 	  3.14303E-03 
3200 	 [1.0021 1.0041 ] 	  4.22213E-06 	  5.09316E-03 
3300 	 [1.0019 1.0038 ] 	  3.59158E-06 	  3.35043E-03 
3400 	 [1.0017 1.0035 ] 	  3.05754E-06 	  2.29016E-03 
3500 	 [1.0016 1.0032 ] 	  2.60336E-06 	  3.16846E-03 
3600 	 [1.0015 1.003 ] 	  2.21540E-06 	  2.00319E-03 
3700 	 [1.0014 1.0027 ] 	  1.88594E-06 	  2.63266E-03 
3800 	 [1.0013 1.0025 ] 	  1.60479E-06 	  1.61222E-03 
3900 	 [1.0012 1.0023 ] 	  1.36561E-06 	  1.96709E-03 
4000 	 [1.0011 1.0022 ] 	  1.16292E-06 	  2.53802E-03 
4100 	 [1.001 1.002 ] 	  9.88715E-07 	  1.38047E-03 
4200 	 [1.0009 1.0018 ] 	  8.41311E-07 	  1.63112E-03 
4300 	 [1.0008 1.0017 ] 	  7.16269E-07 	  1.98743E-03 
