k             x_k^T  	             f(x_k) 	  ||Vf(x_k)|| 
----------------------------------------------------------------
0 	 [-1.2 1 ] 	          2.42000E+01 	  2.32868E+02 
100 	 [0.93438 0.87261 ] 	  4.32690E-03 	  1.01510E-01 
200 	 [0.94094 0.88497 ] 	  3.50429E-03 	  8.82093E-02 
300 	 [0.94669 0.89589 ] 	  2.85321E-03 	  6.78593E-02 
400 	 [0.95182 0.90562 ] 	  2.33318E-03 	  7.60930E-02 
500 	 [0.95632 0.91427 ] 	  1.91572E-03 	  5.73590E-02 
600 	 [0.96035 0.92202 ] 	  1.57835E-03 	  5.12245E-02 
700 	 [0.96396 0.92899 ] 	  1.30429E-03 	  4.89031E-02 
800 	 [0.9672 0.93525 ] 	  1.08075E-03 	  4.67607E-02 
900 	 [0.9701 0.9409 ] 	  8.97715E-04 	  4.17214E-02 
1000 	 [0.97278 0.94602 ] 	  7.48425E-04 	  7.38966E-02 
1100 	 [0.9751 0.95064 ] 	  6.23266E-04 	  4.22604E-02 
1200 	 [0.97725 0.95484 ] 	  5.20806E-04 	  4.38165E-02 
1300 	 [0.97918 0.95864 ] 	  4.35681E-04 	  3.24325E-02 
1400 	 [0.98095 0.96211 ] 	  3.65169E-04 	  3.73607E-02 
1500 	 [0.98254 0.96527 ] 	  3.06292E-04 	  2.81613E-02 
1600 	 [0.98401 0.96815 ] 	  2.57325E-04 	  3.07327E-02 
1700 	 [0.98532 0.97077 ] 	  2.16313E-04 	  2.08527E-02 
1800 	 [0.98654 0.97317 ] 	  1.82053E-04 	  1.89171E-02 
1900 	 [0.98765 0.97536 ] 	  1.53367E-04 	  2.20801E-02 
2000 	 [0.98865 0.97736 ] 	  1.29275E-04 	  1.53871E-02 
2100 	 [0.98958 0.9792 ] 	  1.09061E-04 	  1.33670E-02 
2200 	 [0.99043 0.98088 ] 	  9.20567E-05 	  1.35860E-02 
2300 	 [0.99121 0.98242 ] 	  7.77741E-05 	  1.70381E-02 
2400 	 [0.99191 0.98383 ] 	  6.57107E-05 	  1.15638E-02 
2500 	 [0.99256 0.98513 ] 	  5.55644E-05 	  9.45633E-03 
2600 	 [0.99316 0.98632 ] 	  4.70024E-05 	  8.65242E-03 
2700 	 [0.99371 0.98741 ] 	  3.97728E-05 	  8.74560E-03 
2800 	 [0.99421 0.98842 ] 	  3.36733E-05 	  1.01109E-02 
2900 	 [0.99468 0.98934 ] 	  2.85522E-05 	  1.40167E-02 
3000 	 [0.9951 0.99018 ] 	  2.41585E-05 	  8.73828E-03 
3100 	 [0.99549 0.99096 ] 	  2.04696E-05 	  6.38675E-03 
3200 	 [0.99584 0.99168 ] 	  1.73521E-05 	  5.21571E-03 
3300 	 [0.99618 0.99234 ] 	  1.47276E-05 	  9.81148E-03 
3400 	 [0.99648 0.99294 ] 	  1.24889E-05 	  8.97470E-03 
3500 	 [0.99676 0.9935 ] 	  1.05974E-05 	  8.92055E-03 
3600 	 [0.99701 0.99401 ] 	  8.97668E-06 	  4.04002E-03 
3700 	 [0.99725 0.99448 ] 	  7.61667E-06 	  4.35019E-03 
3800 	 [0.99747 0.99492 ] 	  6.46593E-06 	  5.10171E-03 
3900 	 [0.99767 0.99532 ] 	  5.49568E-06 	  6.57129E-03 
4000 	 [0.99785 0.99568 ] 	  4.65746E-06 	  3.53431E-03 
4100 	 [0.99802 0.99602 ] 	  3.95798E-06 	  4.88267E-03 
4200 	 [0.99817 0.99633 ] 	  3.35744E-06 	  2.91625E-03 
4300 	 [0.99832 0.99662 ] 	  2.85459E-06 	  4.36697E-03 
4400 	 [0.99845 0.99689 ] 	  2.42159E-06 	  2.76152E-03 
4500 	 [0.99857 0.99713 ] 	  2.05662E-06 	  1.93350E-03 
4600 	 [0.99868 0.99736 ] 	  1.74811E-06 	  3.02036E-03 
4700 	 [0.99879 0.99756 ] 	  1.48408E-06 	  2.11488E-03 
4800 	 [0.99888 0.99775 ] 	  1.26070E-06 	  1.58071E-03 
4900 	 [0.99897 0.99793 ] 	  1.07254E-06 	  2.74291E-03 
5000 	 [0.99905 0.99809 ] 	  9.10479E-07 	  2.02840E-03 
5100 	 [0.99912 0.99824 ] 	  7.73351E-07 	  1.55793E-03 
5200 	 [0.99919 0.99838 ] 	  6.57080E-07 	  1.23986E-03 
