>> scriptnl
bisection
nit  root approx     residual    error
 -1  0.785398163397   8.987e-01   4.800e-01
  0  1.570796326795  -7.337e-01  -3.054e-01
  1  1.178097245096   1.887e-01   8.733e-02
  2  1.374446785946  -2.495e-01  -1.090e-01
  3  1.276272015521  -2.415e-02  -1.085e-02
  4  1.227184630309   8.390e-02   3.824e-02
  5  1.251728322915   3.027e-02   1.370e-02
  6  1.264000169218   3.158e-03   1.424e-03
  7  1.270136092369  -1.047e-02  -4.712e-03
  8  1.267068130794  -3.651e-03  -1.644e-03
  9  1.265534150006  -2.451e-04  -1.104e-04
 10  1.264767159612   1.457e-03   6.565e-04
 11  1.265150654809   6.059e-04   2.731e-04
 12  1.265342402407   1.804e-04   8.130e-05
 13  1.265438276206  -3.233e-05  -1.457e-05
 14  1.265390339307   7.404e-05   3.337e-05
 15  1.265414307757   2.086e-05   9.398e-06
 16  1.265426291982  -5.739e-06  -2.586e-06
 17  1.265420299869   7.558e-06   3.406e-06
 18  1.265423295925   9.097e-07   4.099e-07
 19  1.265424793953  -2.415e-06  -1.088e-06
 20  1.265424044939  -7.525e-07  -3.391e-07
 21  1.265423670432   7.864e-08   3.544e-08
 22  1.265423857686  -3.369e-07  -1.518e-07
 23  1.265423764059  -1.291e-07  -5.819e-08
Newton
nit  root approx     residual    error
  0  1.570796326795  -7.337e-01  -3.054e-01
  1  1.285398163397  -4.458e-02  -1.997e-02
  2  1.265538152300  -2.540e-04  -1.144e-04
  3  1.265423709707  -8.517e-09  -3.838e-09
tol =
   1.0000e-07
a fixed-point iteration
nit  root approx     phi(x)-x    error
  0  1.570796326795  -5.708e-01  -3.054e-01
  1  1.000000000000   4.424e-01   2.654e-01
  2  1.442430106361  -3.217e-01  -1.770e-01
  3  1.120726529326   2.468e-01   1.447e-01
  4  1.367500187919  -1.827e-01  -1.021e-01
  5  1.184819548513   1.392e-01   8.060e-02
  6  1.323982049746  -1.039e-01  -5.856e-02
  7  1.220095096709   7.879e-02   4.533e-02
  8  1.298889094191  -5.908e-02  -3.347e-02
  9  1.239813764828   4.469e-02   2.561e-02
 10  1.284501784390  -3.358e-02  -1.908e-02
 11  1.250919292412   2.536e-02   1.450e-02
 12  1.276283538184  -1.909e-02  -1.086e-02
 13  1.257198194983   1.440e-02   8.226e-03
 14  1.271599996883  -1.084e-02  -6.176e-03
 15  1.260755595623   8.179e-03   4.668e-03
 16  1.268934534050  -6.161e-03  -3.511e-03
 17  1.262773401685   4.645e-03   2.650e-03
 18  1.267418799507  -3.500e-03  -1.995e-03
 19  1.263918660348   2.639e-03   1.505e-03
 20  1.266557263778  -1.988e-03  -1.134e-03
 21  1.264568915416   1.499e-03   8.548e-04
 22  1.266067700652  -1.130e-03  -6.440e-04
 23  1.264938192189   8.514e-04   4.855e-04
 24  1.265789550929  -6.416e-04  -3.658e-04
 25  1.265147926799   4.836e-04   2.758e-04
 26  1.265631531214  -3.645e-04  -2.078e-04
 27  1.265267055521   2.747e-04   1.567e-04
 28  1.265541762975  -2.070e-04  -1.181e-04
 29  1.265334722831   1.560e-04   8.898e-05
 30  1.265490768623  -1.176e-04  -6.706e-05
 31  1.265373159915   8.864e-05   5.055e-05
 32  1.265461800884  -6.681e-05  -3.810e-05
 33  1.265394993606   5.035e-05   2.871e-05
 34  1.265445345682  -3.795e-05  -2.164e-05
 35  1.265407396035   2.860e-05   1.631e-05
 36  1.265435998308  -2.156e-05  -1.229e-05
 37  1.265414441151   1.625e-05   9.265e-06
 38  1.265430688550  -1.225e-05  -6.983e-06
 39  1.265418443088   9.229e-06   5.263e-06
 40  1.265427672356  -6.956e-06  -3.966e-06
 41  1.265420716369   5.243e-06   2.989e-06
 42  1.265425959017  -3.951e-06  -2.253e-06
 43  1.265422007696   2.978e-06   1.698e-06
 44  1.265424985761  -2.245e-06  -1.280e-06
 45  1.265422741229   1.692e-06   9.646e-07
 46  1.265424432907  -1.275e-06  -7.270e-07
 47  1.265423157909   9.610e-07   5.480e-07
 48  1.265424118860  -7.243e-07  -4.130e-07
 49  1.265423394603   5.459e-07   3.113e-07
 50  1.265423940467  -4.114e-07  -2.346e-07
 51  1.265423529056   3.101e-07   1.768e-07
 52  1.265423839132  -2.337e-07  -1.333e-07
 53  1.265423605431   1.761e-07   1.004e-07
 54  1.265423781568  -1.328e-07  -7.570e-08
 55  1.265423648816   1.001e-07   5.705e-08
 56  1.265423748870  -7.541e-08  -4.300e-08
